scientific_name,description_twi
"Lagerstroemia speciosa","Ɛyɛ dua a efi India, Malaysia, Philippines, ne Sri Lanka, na ebetumi akɔ mita 10 kosi 20. Bere a osu bere no du ne mpɔtam no, ne nhwiren ma nwoawa ne aboɔpɔnkɔ nya nhwiren mu nsu pii; nhaban no hwe ase wɔ mmere bi mu na ɛboa ma asase nya ahoɔden. Wodua no titiriw sɛ afɛfɛde ne dua a wɔde sen apon wɔ Afrika Atɔe Fam, na ne nhwiren bunkam a ɛda adi bere osu tɔ mu no ma ɛyɛ dua a wohu no ntɛm wɔ Ghana suku. Wɔ Asia apuei fam, wɔde nhaban yɛ aduro ma asikyireyareɛ; wɔde dua akyi nso yɛ aduro ma yafunu yare."
"Leucaena leucocephala","Ɛyɛ dua a efi Mexico ne Central America atifi fam, na ebetumi akɔ mita 5 kosi 10. Ne ntini so nkwammoaa boa ma asase nya ahoɔden; ɛnyin ntɛm na ɛdi kan kɔ asase a asɛe so. Ɛyɛ dua a mfaso wɔ so kɛse wɔ akuadwuma mu wiase nyinaa; wɔde nhaban ma mmoa aduan, dua sɔ ogya, ne ban wɔ Ghana Atifi fam ne Brong-Ahafo mpɔtam. Wɔ Afrika Atɔe Fam, wɔde ne dua akyi ne ntini bɔ nsu ma ɔyaw mu haw; nanso n'aba nni mmoa a wonnuruye ho enti hwɛ yiye wɔ mmoa aduan mu."
"Mangifera indica","Ɛyɛ dua a efi South Asia, na ebetumi akɔ mita 10 kosi 30. N'aduaba ma nnomaa ne apan di; ne dua atifi bɔ campus wuram mmoa ho ban. Ɛyɛ Ghana aduaba a edi kan aba mmiɛnsa mu, na Brong-Ahafo Mantam yɛ mpɔtam titiriw a wɔyɛ pii wɔ. Wɔ Ghana, wɔde nhaban yɛ aduro ma asikyireyareɛ; ne dua akyi nso wɔ nnuro a ɛku mmoawa mu tumi."
"Manihot esculenta","Ɛyɛ dutan a efi Brazil ne Paraguay, na ebetumi akɔ mita 1 kosi 3. Ɛnyin ntɛm na ɛboa ma asase kwa gyina pintinn; ne ntini mpɔtam boa asase mu mmoa nketewa ahorow; ɛyɛ aduan nnɔbae a etumi gyina ɔpɛ ano paa wɔ wiase. Ɛyɛ Ghana aduan titiriw a wɔyɛ gari, fufu, ne tapioka fi mu, na ɛyɛ Brong-Ahafo akuafo aduan a ɛho hia paa. Wɔ Afrika Atɔe Fam, wɔde nhaban yɛ aduro ma tiri yaw, atiridii, ne mogya mmoroso; wɔde ntini nso gu apira so. ANSƐE: Ntini ne nhaban a wɔnnoae yɛ awuduru; ɛsɛ sɛ wɔnoa yiye ansa na wɔadi."
"Mimosa pudica","Ɛyɛ afifide a efi Amerika mpɔtam a ɔyɛ hyew, na ebetumi akɔ mita 0.3 kosi 0.5, na ɛtrɛw fam. Ne nhwiren twetwe nwoawa nketewa; ɛdi kan kɔ asase a asɛe so; ne ntini so nkwammoaa boa ma asase nya ahoɔden. Sɛ woka ne nhaban a, ɛbɔ mu ntɛm; saa su yi ma UENR asuafo hu afifide su nhyehyɛe wɔ ani so ntɛm. Wɔ Ghana ne Afrika Atɔe Fam, wɔde ntini ne nhaban yɛ aduro ma apira ne obi a ɔnna."
"Monoon longifolium","Ɛyɛ dua tenten a ne mu yɛ teateaa, a efi India ne Sri Lanka, na ebetumi akɔ mita 12 kosi 30. Ne tenten no ma campus afifide ne mmoa mpɔtam nya nhyehyɛe a ɛforo soro; nnomaa ne nkoekoemmoa nketewa de ne dua atifi yɛ wɔn bere na wɔhome. Wodua no titiriw sɛ abɔntene sunsuma dua wɔ Ghana suku mu efisɛ ɛyɛ teateaa na etumi gyina wusiw ano. Wɔ India, wɔde ne dua akyi ne nhaban yɛ aduro ma atiridii ne honam yare."
"Moringa oleifera","Ɛyɛ dua a efi India, Pakistan, ne Nepal, na ebetumi akɔ mita 5 kosi 12. Ne nhwiren a nhwiren mu nsu wom pii twetwe nwoawa ne aboɔpɔnkɔ; ɛnyin ntɛm na ɛkata asase so ntɛm. Wɔfrɛ no 'anwonwa dua' efisɛ n'aba yɛ ngo a wɔde noa aduan anaa yɛ ahosiesie, na ne nhaban yɛ aduan ne mmoa aduan; Ghana Kuadwumayɛ Ntontobɔ Adwuma hyɛ akuafo nkuran sɛ wonnua wɔ Brong-Ahafo. Ne nhaban wɔ Vitamin C sen ankaa mu, na kalsium sen nufusuo mu; wɔde di atiridii, mogya kokoo a ɛsua, ne asikyireyareɛ ho dwuma wɔ Ghana aduruyɛ mu."
"Musa × paradisiaca","Ɛyɛ afifide a efi Asia apuei fam ne Pacific, na ne dua betumi akɔ mita 3 kosi 9. Nhaban ne dua ntam a ɛporɔw no yɛ tenabea nketewa ma nkoekoemmoa ne asase mu mmoa; nhwiren mu nsu twetwe nnomaa ne apan. Ɛyɛ Ghana aduan a wodi sen biara sɛ kelewele, ampesi, ne fufu, ɛyɛ Brong-Ahafo nnuan a ɛho hia paa wɔ amammerɛ mu. Wɔ Ghana, wɔde nhaban gu apira so; sɛ aduaba no bere a, wodi ma yafunu mu akuru ne yafunu yare tɔ."
"Nerium oleander","Ɛyɛ dutan a efi Mediterranean mpɔtam kɔsi India, na ebetumi akɔ mita 2 kosi 6. Ɛwom sɛ afifide no yɛ awuduru de, ne nhwiren twetwe aboɔpɔnkɔ ne nwoawa; ne nhaban a ɛyɛ den na ɛyɛ ahabammono bere nyinaa kata ade so. Wodua no titiriw sɛ ban dua wɔ Ghana suku turo mu esiane sɛ etumi gyina wusiw ne osu a enni mu ano. ANSƐE: Ne fa nyinaa yɛ awuduru kɛse ma nnipa, mmoa, ne anantwi, mpo wusiw a efi mu reyɛ ogya no yɛ awuduru. Mfa nsa nkame na wɔanhyɛ nsa dan; ɛnsɛ sɛ obi de yɛ aduro da biara."
"Newbouldia laevis","Ɛyɛ dua a efi Senegal kɔsi Congo, a Ghana ka ho, na ebetumi akɔ mita 7 kosi 20. Ɛdɔɔso paa wɔ UENR bat sanctuary; ne nhwiren twetwe nnomaa ne nwoawa; ɛnyin ntɛm na ɛdi kan wɔ kwae a asɛe so san nyin. Wɔde sisi afie ntanoa, na wɔde ne dua a ogya nnye no yɛ apon; ɛyɛ dua a wɔde si mmusua ahye so wɔ Ghana ne Afrika Atɔe Fam mmeaɛ pii. Ɛyɛ aduro dua titiriw wɔ Ghana ne Afrika Atɔe Fam; wɔde ne dua akyi, ntini, ne nhaban yɛ aduro ma nna, atiridii, honam yare, ne yafunu mu haw."
"Persea americana","Ɛyɛ dua a efi Mexico ne Central America, na ebetumi akɔ mita 10 kosi 20. Ne nhwiren twetwe nwoawa ma wɔboa ma ɛnya aba; tete no, mmoa akɛse a wɔn ase atɔre na wɔtrɛw n'aduaba a ɛyɛ nam no; nnɛ nnipa na wɔtrɛw no. Ɛyɛ Ghana aduaba a wɔredi mmɔdenbɔ akɛse wɔ so wɔ Brong-Ahafo ne Apuei fam, na wɔretɔn kɔ Europe daa. N'aduaba wɔ srade pii sen aduaba biara, na Vitamin E ne K wom pii; wɔ Ghana, wɔde nhaban yɛ aduro ma mogya mmoroso ne bo mu abo."
"Platycladus orientalis","Ɛyɛ dua a efi China ne Iran atifi fam, na ebetumi akɔ mita 5 kosi 15. Ne nhaban a ɛyɛ den na ɛyɛ ahabammono bere nyinaa bɔ nnomaa nketewa ho ban afe mu nyinaa; nnomaa bi di n'aba. Wodua no titiriw sɛ afɛfɛde wɔ Ghana suku ne turo mu esiane ne bɔbea papa nti; ɛyɛ dua a etumi gyina osukɔm mu. Wɔ China, mfeɛ mpempem pii ni, wɔde n'aba yɛ aduro ma nna a ɛmma yiye ne akoma mu haw."
"Plumeria pudica","Ɛyɛ dutan a efi Panama, Colombia, ne Venezuela, na ebetumi akɔ mita 3 kosi 4. Ne nhwiren a ɛyɛ huam twetwe ntontom ne aboɔpɔnkɔ ma wɔboa ma ɛnya aba; ɛyɛ nhwiren afe mu nyinaa na ɛma nhwiren mu nsu ba daa. Wodua no titiriw sɛ afɛfɛde dua wɔ Ghana ahɔhoɔdan ne suku turo mu esiane ne nhwiren fitaa a ɛda adi afe mu nyinaa ne sɛ etumi gyina osukɔm mu. ANSƐE: Ne nsuo fufuo de ɔyaw ba honam so, na sɛ obi di a, ɛyɛ awuduru."
"Polyscias fruticosa","Ɛyɛ dutan a efi India kɔsi Polynesia, na ebetumi akɔ mita 2 kosi 5. Nwoawa nketewa ne nwansena boa ma nhwiren a ɛnyɛ fɛ kɛse no nya aba; sɛ n'aduaba tuntum a ɛyɛ kɔkɔɔ-tuntum ba a, nnomaa di. Wodua no titiriw sɛ afɛfɛde wɔ Ghana suku turo mu, na wɔfa nso yɛ bonsai adan mu. Wɔ Asia apuei fam ne Afrika Atɔe Fam, wɔde nhaban ne ntini yɛ aduro ma yafunu yare ne honam yare. ANSƐE: Ebia awuduru kakraa bi wom ma mmoa a wɔhwɛ wɔn so."
"Pongamia pinnata","Ɛyɛ dua a efi Asia apuei fam ne Australia atifi fam, na ebetumi akɔ mita 15 kosi 25. Ne nhwiren ma nwoawa nya nhwiren mu nsu pii; ne dua atifi a ɛtrɛw ma nnomaa nya tenabea; ne ntini so nkwammoaa boa ma asase nya ahoɔden. Ɛyɛ dua a mfaso wɔ so kɛse wɔ biofuel adwuma mu; wɔde n'aba mu ngo yɛ ade a ɛboa ogya sɔ mu, na wodua no sɛ sunsuma dua ma cocoa ne kɔfe wɔ Ghana. Wɔ India, wɔde n'aba mu ngo yɛ aduro ma honam yare."
"Ricinus communis","Ɛyɛ dutan a efi Afrika Apuei fam ne Middle East, na ebetumi akɔ mita 1 kosi 5, na wɔ mmeaɛ bi a ɔhyew wɔ pii no, ebetumi akɔ mita 12. Ɛnyin ntɛm na ɛdi kan kɔ asase a asɛe so; sɛ aba nsina no wu na ɛyow a, ɛma aba no tu fi mu gu ntɛm ma ɛkata asase so. Castor ngo yɛ ade a wodi dwuma wɔ wiase nyinaa wɔ ogodua, plastik, ne aduro adwuma mu; Ghana Atifi fam wɔ castor mfuo ketewa bi. Wɔ Ghana, wɔde n'aba mu ngo di yafunu haw ho dwuma. ANSƐE: N'aba yɛ awuduru kɛse; ɛnsɛ sɛ obi di aba mono biara."
"Senna siamea","Ɛyɛ dua a efi Thailand ne Indonesia, na ebetumi akɔ mita 10 kosi 15. Ɔpɛ bere mu no, ne nhwiren ma nwoawa ne aboɔpɔnkɔ nya nhwiren mu nsu; wɔahu no wɔ UENR bat sanctuary, na ɛboa ma campus wuram mmoa ahorow dɔɔso. Ɛyɛ sunsuma dua titiriw ma cocoa ne kɔfe mfuo wɔ Ghana; wɔde sɔ ogya, yɛ gyabene, ne apon; ɛyɛ Ghana abɔntene ne sunsuma dua a wodua no pii sen biara. Wɔ Ghana ne Afrika Atɔe Fam, wɔde nhaban ne dua akyi yɛ aduro ma yafunu haw ne obi a ɔnna."
"Solanum torvum","Ɛyɛ dutan a efi Amerika mpɔtam a ɔyɛ hyew, na ebetumi akɔ mita 1 kosi 4. Ne nhwiren twetwe aboɔpɔnkɔ; nnomaa di n'aduaba na ɛboa ma aba trɛw; ɛdi kan kɔ asase a asɛe so. Wɔde n'aba amono nketewa yɛ nnuan wɔ Ghana ne Afrika Atɔe Fam aduannoa mu, titiriw wɔ nkwan ne aduane a wɔnoa mu. Wɔ Ghana, wɔde aba yɛ aduro ma asikyireyareɛ, mogya mmoroso, ne mogya kokoo a ɛsua. ANSƐE: Sɛ aba no mmerɛ a wonnoae a, ɛde yafunu haw ba; ɛsɛ sɛ wɔnoa ansa na wɔadi."
"Spathodea campanulata","Ɛyɛ dua a efi Senegal kɔsi Uganda, na ebetumi akɔ mita 7 kosi 25, ebi kɔ mita 35. Ne nhwiren akɛse a ɛyɛ fɛ ma nnomaa, nnomaa akɛse, ne aboɔpɔnkɔ nya nhwiren mu nsu pii; nsuo a ɛboaboa ano wɔ nhwiren aba nketewa mu no, mfroɔ ne nkoekoemmoa de yɛ adwuma. ANSƐE: Ne nhwiren mu nsu yɛ awuduru ma aboɔpɔnkɔ bi. Ɛyɛ dua a wodua no wɔ Ghana suku turo mu esiane ne nhwiren a ɛyɛ fɛ. Wɔ Afrika Atɔe Fam, wɔde ne dua akyi yɛ aduro ma nsu-kwan mu haw ne atiridii."
"Sphagneticola trilobata","Ɛyɛ afifide a efi Mexico, Central America, ne Caribbean, na ebetumi akɔ mita 0.15 kosi 0.3, na ɛtrɛw fam. Ne nhwiren twetwe nwoawa nketewa ne aboɔpɔnkɔ; ɛyɛ ntama a ɛyɛ den kata asase so na ɛma afifide a ɛyɛ kurom ntumi nyin. IUCN akyerɛ sɛ ɛyɛ wiase afifide amannɔne a ɛtrɛw bɔne no 100 no mu baako, enti sɛ wɔanhwɛ so a, etumi tu wura foforo aso. Wɔfa no yɛ turo asase a ɛnhia hwɛ pii wɔ Ghana suku mu; ebi de nhaban yɛ aduro ma honam yare."
"Syzygium jambos","Ɛyɛ dua a efi India ne Malaysia, na ebetumi akɔ mita 7 kosi 15. Ne nhwiren a ɛyɛ cream na ɛte sɛ pom-pom twetwe nwoawa ne aboɔpɔnkɔ; nnomaa ne apan di n'aduaba na ɛboa ma aba trɛw. N'aduaba yɛ dɛ na ɛte sɛ rose hua, na wodi no amono anaa wɔde yɛ nsuo, jelly, ne jam; wɔtɔn no wɔ Ghana gua ase. Wɔ Asia, wɔde nhaban ne dua akyi yɛ aduro ma asikyireyareɛ ne yafunu yare."
"Syzygium myrtifolium","Ɛyɛ dutan a efi Malay Peninsula ne Indonesia, na ebetumi akɔ mita 2 kosi 5. Ne nhwiren twetwe nwoawa ne aboɔpɔnkɔ; ne nhaban a ɛyɛ den bɔ nnomaa nketewa ho ban. Wodua no titiriw sɛ ban dua fɛfɛɛfɛ wɔ Ghana suku mu esiane ne nhaban foforo kɔkɔɔ a ɛda adi no; ɛyɛ dua foforo koraa a ɛnyɛ Syzygium jambos."
"Tectona grandis","Ɛyɛ dua a efi India kɔsi Asia apuei fam, na ebetumi akɔ mita 20 kosi 40. Ɛma nnomaa ne nkoekoemmoa nya baabi yɛ wɔn bere; teak mfuo a ɛwɔ Ghana Brong-Ahafo boa asase mu mmoa ahorow na ɛyɛ akwan a wuram mmoa fa so. Ɛyɛ dua a ne dua yɛ mfaso kɛse sen biara wiase nyinaa; Ghana wɔ teak mfuo akɛse wɔ Brong-Ahafo Mantam a wɔyɛ dua a ɛsom bo de tɔn kɔ amannɔne. Wɔ Afrika Atɔe Fam, wɔde nhaban yɛ aduro ma atiridii, na wɔde dua akyi yɛ aduro ma ahome mu yare."
"Terminalia catappa","Ɛyɛ dua a efi Asia apuei fam ne Pacific Islands, na ebetumi akɔ mita 15 kosi 30. Nnomaa, apan, ne mmoa di n'aduaba na ɛboa ma aba no trɛw; ne dua atifi a ɛyɛ afam-afam ma wuram mmoa nya tenabea ahorow. Wodua no titiriw sɛ sunsuma dua wɔ Ghana suku mu; n'aba mu aba yɛ dɛ na wodi sɛ ɛbere a; Asia mmeaɛ bi de ne nhaban a ahwe ase gu nsuo mu ma nsuo no yɛ pa ma mpataa turo. Wɔ Ghana, wɔde nhaban yɛ aduro ma apira ne honam yare."
"Terminalia mantaly","Ɛyɛ dua a efi Madagascar, na ebetumi akɔ mita 10 kosi 20. Ne mman a ɛyɛ afam-afam na ɛtrɛw kɔ nkyɛn no ma nnomaa nya baabi yɛ wɔn bere; nhaban atifi biara ase ma sunsuma a wɔahyehyɛ. Wodua no titiriw sɛ abɔntene ne sunsuma dua wɔ Ghana suku mu esiane ne mman a wɔahyehyɛ afam-afam fɛfɛɛfɛ nti. Wɔ Cameroon ne Madagascar, wɔde ne dua akyi ne nhaban yɛ aduro ma apira ne honam yare."
"Tetrapleura tetraptera","Ɛyɛ dua a efi Senegal kɔsi Congo, a Ghana ka ho, na ebetumi akɔ mita 20 kosi 25. Ne dua atifi boa nnomaa, apan, ne nkoekoemmoa; ne nhwiren twetwe mmoa a wɔboa ma afifide nya aba; nnomaa ne apan di n'aduaba. Wɔfrɛ no Prɛkɛsɛ wɔ Twi kasa mu. N'aba yɛ nnuan a wɔde yɛ nkwan, aduannoa, ne nsa wɔ Ghana; aba ne dua akyi wɔ aduro gua kɛse wɔ Sunyani ne Bono Ahafo. Wɔ Ghana, wɔde aba ne aba mu ntini yɛ aduro ma ɔbaa a wawo akyi ho ahoɔden, ntwaso, mogya mmoroso, ne home mu haw."
"Tradescantia pallida","Ɛyɛ afifide a efi Mexico Gulf mpoano, na ebetumi akɔ mita 0.3 kosi 0.6, na ɛtrɛw fam. Ɛnyin fam na ɛkata asase so, na ɛbɔ asase ani ho ban fi nsuo a ɛkɔfa dɔteɛ; ne nhwiren twetwe nwoawa nketewa. Wodua no titiriw sɛ turo asase afɛfɛde wɔ Ghana suku mu efisɛ ennye nsu pii, na ne nhaban bere-tuntum no yɛ fɛ."
"Tradescantia spathacea","Ɛyɛ afifide a efi Mexico anafo fam, Guatemala, ne Belize, na ebetumi akɔ mita 0.2 kosi 0.3. Ɛyɛ ntama a ɛyɛ den kata asase so fam; ɛboa wuram mmoa kakraa bi pɛ; ne nyin a ɛyɛ tiawa si nwura kwan yiye. Wodua no titiriw sɛ turo asase wɔ Ghana suku ne ahɔhoɔdan mu efisɛ ennye nsu anaa aduan pii; ne nhaban ase bere-tuntum ma ɛyɛ soronko wɔ turo nhyehyɛe mu."
"Vitex trifolia","Ɛyɛ dutan a efi India kɔsi Australia, na ebetumi akɔ mita 1 kosi 4, na ebi kɔ mita 8. Ne nhwiren twetwe nwoawa ne aboɔpɔnkɔ; etumi gyina nkyene ano na ɛboa mpoano afifide; nhaban no ma aboɔpɔnkɔ mma bi nya aduan. Ɛyɛ aduro afifide a ɛho hia wɔ Ghana ne Afrika Atɔe Fam aduruyɛ mu; wɔde nhaban, aduaba, ne ntini yɛ aduro ma tiri yaw, atiridii, ne ɔyaw."
"Voacanga africana","Ɛyɛ dua ketewa a ɛwɔ kwae a asan nyin ano, a efi Ghana, Nigeria, Cameroon, ne Côte d'Ivoire, na ebetumi akɔ mita 3 kosi 6. Ne nhwiren twetwe mmoa a wɔboa ma afifide nya aba; nnomaa ne apan di n'aduaba na ɛboa ma aba trɛw. Ghana yɛ ɔman a odi kan wɔ wiase mu de Voacanga aba tɔn kɔ aduro adwumakuw amannɔne. Wɔ Ghana, wɔde dua akyi, ntini, ne aba yɛ aduro ma atiridii, yafunu haw, ne akoma mu haw; nnuro a wɔyi fi aba mu no boa aduro a wɔde sa nna a ɛmma yiye ne obonsam sunsum yare yɛ."
"Zea mays","Ɛyɛ afifide a efi Mexico, na ebetumi akɔ mita 1 kosi 4. Ne pollen ma nkoekoemmoa ahorow pii nya aduan; bere a ɛyɛ ɔpɛ no, dua a ayow no bɔ mmoa nketewa ne nkoekoemmoa ho ban. Ɛyɛ Ghana aburow a edi kan sen biara; ɛyɛ ade titiriw a wɔde yɛ kenkey, banku, ne tuo zaafi; Atifi fam ne Brong-Ahafo na wɔyɛ pii wɔ. Wɔ Ghana, wɔde n'akyi a ɛwɔ aba no ho no yɛ aduro ma nsu-kwan mu haw."
